1.1.0,2023-02-12T02:42:54.400803
2.0.0,2023-02-12T02:42:54.401110
0.1.10,2023-02-12T02:42:54.401506
2.0.0,2023-02-12T02:42:54.401839
19.0.0,2023-02-12T02:42:54.402161
1.0.0,2023-02-12T02:42:54.402452
9.9.9,2023-02-12T02:42:54.402857
1.0.0,2023-02-12T02:42:54.403268
1.0.17,2023-02-12T02:42:54.403680
0.0.2,2023-02-12T02:42:54.403986
1.1.1,2023-02-12T02:42:54.404348
137.0.0,2023-02-12T02:42:54.404682
1.0.0,2023-02-12T02:42:54.407115
1.0.3,2023-02-12T02:42:54.407855
1.0.3,2023-02-12T02:42:54.408526
1.1.2,2023-02-12T02:42:54.408876
0.0.0,2023-02-12T02:42:54.409214
1.0.1,2023-02-12T02:42:54.409514
0.2.4,2023-02-12T02:42:54.409857
2.0.0,2023-02-12T02:42:54.410310
9.9.9,2023-02-12T02:42:54.410716
3.0.0,2023-02-12T02:42:54.411176
9.9.9,2023-02-12T02:42:54.411655
2.0.0,2023-02-12T02:42:54.412102
1.0.2,2023-02-12T02:42:54.412792
1.999.99,2023-02-12T02:42:54.413503
1.999.99,2023-02-12T02:42:54.413864
1.0.0,2023-02-12T02:42:54.414431
1.0.0,2023-02-12T02:42:54.415373
1.1.1,2023-02-12T02:42:54.415746
1.0.0,2023-02-12T02:42:54.416122
1.0.2,2023-02-12T02:42:54.416478
9.9.9,2023-02-12T02:42:54.416809
1.0.0,2023-02-12T02:42:54.417245
1.1.1,2023-02-12T02:42:54.417668
2.8.5,2023-02-12T02:42:54.418161
0.0.8,2023-02-12T02:42:54.418541
1.0.0,2023-02-12T02:42:54.418930
1.0.4,2023-02-12T02:42:54.419413
1.0.3,2023-02-12T02:42:54.419742
1.0.0,2023-02-12T02:42:54.420172
1.0.11,2023-02-12T02:42:54.420587
19.0.0,2023-02-12T02:42:54.421701
1.0.4,2023-02-12T02:42:54.422138
0.1.9,2023-02-12T02:42:54.422455
1.4.11,2023-02-12T02:42:54.422706
2.8.5,2023-02-12T02:42:54.423041
2.0.0,2023-02-12T02:42:54.423386
0.0.1,2023-02-12T02:42:54.423668
1.0.2,2023-02-12T02:42:54.424014
